Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Property_Area,Loan_Status
Female,No,0,Not Graduate,No,4350,0,Rural,Y
Male,Yes,3+,Not Graduate,No,3095,0,Rural,Y
Male,Yes,0,Graduate,No,2083,3150,Semiurban,Y
Male,Yes,0,Graduate,No,10833,0,Semiurban,Y
Male,Yes,2,Graduate,No,8333,0,Semiurban,Y
Male,Yes,1,Not Graduate,No,1958,2436,Rural,Y
Male,No,2,Graduate,No,3547,0,Rural,N
Male,Yes,1,Graduate,No,18333,0,Urban,N
Male,Yes,2,Graduate,Yes,4583,2083,Semiurban,Y
Male,No,0,Graduate,No,2435,0,Urban,N
Male,No,0,Not Graduate,No,2699,2785,Semiurban,Y
Male,Yes,1,Not Graduate,No,5333,1131,Urban,Y
Male,No,0,Not Graduate,No,3691,0,Rural,Y
Female,No,0,Not Graduate,Yes,17263,0,Semiurban,Y
Male,Yes,0,Graduate,No,3597,2157,Rural,N
Female,Yes,1,Graduate,No,3326,913,Semiurban,Y
Male,Yes,0,Not Graduate,No,2600,1700,Rural,Y
Male,Yes,0,Graduate,No,4625,2857,Urban,Y
Male,Yes,1,Graduate,Yes,2895,0,Semiurban,Y
Male,No,0,Graduate,No,6283,4416,Rural,N
Female,No,0,Graduate,No,645,3683,Rural,Y
Female,No,0,Graduate,No,3159,0,Semiurban,Y
Male,Yes,2,Graduate,No,4865,5624,Semiurban,Y
Male,Yes,1,Not Graduate,No,4050,5302,Rural,N
Male,Yes,0,Not Graduate,No,3814,1483,Semiurban,Y
Male,Yes,2,Graduate,No,3510,4416,Rural,Y
Male,Yes,0,Graduate,No,20833,6667,Urban,Y
,No,0,Graduate,No,3583,0,Urban,N
Male,Yes,0,Graduate,Yes,2479,3013,Urban,Y
Female,No,1,Graduate,No,13262,0,Urban,Y
Male,No,0,Not Graduate,No,3598,1287,Rural,N
Male,Yes,1,Graduate,No,6065,2004,Semiurban,Y
Male,Yes,2,Graduate,No,3283,2035,Urban,Y
Male,Yes,0,Graduate,No,2130,6666,Semiurban,N
Male,No,0,Graduate,No,5815,3666,Rural,N
Male,Yes,3+,Graduate,No,3466,3428,Rural,Y
Female,Yes,2,Graduate,No,2031,1632,Semiurban,Y
Male,Yes,,Not Graduate,No,3074,1800,Semiurban,N
Male,No,0,Graduate,No,4683,1915,Semiurban,N
Female,No,0,Not Graduate,No,3400,0,Rural,N
Male,Yes,2,Not Graduate,No,2192,1742,Semiurban,Y
Male,No,0,Graduate,No,2500,0,Semiurban,Y
Male,Yes,3+,Graduate,Yes,5677,1424,Rural,Y
Male,Yes,2,Graduate,Yes,7948,7166,Rural,Y
Male,No,0,Graduate,No,4680,2087,Semiurban,N
Male,Yes,2,Graduate,Yes,17500,0,Rural,Y
Male,Yes,0,Graduate,No,3775,0,Semiurban,Y
Male,Yes,1,Not Graduate,No,5285,1430,Semiurban,Y
Male,No,1,Not Graduate,No,2679,1302,Semiurban,Y
Male,No,0,Not Graduate,No,6783,0,Semiurban,Y
Male,Yes,0,Graduate,No,1025,5500,Rural,Y
Male,Yes,3+,Graduate,No,4281,0,Urban,Y
Male,No,2,Graduate,No,3588,0,Rural,N
Male,No,1,Graduate,No,11250,0,Semiurban,N
Female,No,0,Not Graduate,Yes,18165,0,Urban,Y
Male,No,0,Not Graduate,,2550,2042,Rural,Y
Male,Yes,0,Graduate,No,6133,3906,Urban,Y
Male,No,2,Graduate,No,3617,0,Semiurban,Y
Male,Yes,0,Not Graduate,No,2917,536,Rural,N
Male,Yes,3+,Graduate,No,6417,0,Rural,Y
Female,Yes,1,Graduate,No,4608,2845,Semiurban,Y
Female,No,0,Graduate,No,2138,0,Semiurban,N
Female,No,1,Graduate,,3652,0,Semiurban,Y
Male,Yes,1,Not Graduate,No,2239,2524,Urban,Y
Female,Yes,0,Not Graduate,No,3017,663,Semiurban,Y
Male,Yes,0,Graduate,No,2768,1950,Rural,Y
Male,No,0,Not Graduate,No,3358,0,Semiurban,N
Male,No,0,Graduate,No,2526,1783,Rural,Y
Female,No,0,Graduate,No,5000,0,Semiurban,N
Male,Yes,0,Graduate,No,2785,2016,Rural,Y
Male,Yes,2,Graduate,Yes,6633,0,Rural,N
Male,Yes,1,Not Graduate,No,2492,2375,Rural,Y
Male,Yes,1,Graduate,No,3333,3250,Urban,Y
Male,Yes,0,Not Graduate,No,2454,2333,Urban,N
Male,Yes,0,Graduate,No,3593,4266,Rural,N
Male,Yes,1,Graduate,No,5468,1032,Semiurban,Y
Female,No,0,Graduate,No,2667,1625,Urban,Y
Male,Yes,3+,Graduate,Yes,10139,0,Semiurban,Y
Male,Yes,0,Graduate,No,3887,2669,Semiurban,Y
Female,Yes,0,Graduate,No,4180,2306,Semiurban,Y
Male,Yes,2,Not Graduate,No,3675,242,Semiurban,Y
Female,Yes,1,Graduate,Yes,19484,0,Semiurban,Y
Male,Yes,0,Graduate,No,5923,2054,Rural,Y
Male,No,0,Not Graduate,Yes,5800,0,Semiurban,Y
Male,Yes,2,Graduate,No,8799,0,Urban,N
Male,Yes,0,Not Graduate,No,4467,0,Rural,Y
Male,No,0,Graduate,No,3333,0,Urban,Y
Male,Yes,3+,Graduate,No,3400,2500,Rural,N
Female,No,0,Graduate,No,2378,0,Urban,N
Male,Yes,0,Graduate,No,3166,2064,Urban,N
Male,Yes,1,Graduate,No,3417,1750,Urban,Y
Male,Yes,,Graduate,No,5116,1451,Urban,N
Male,Yes,2,Graduate,No,16666,0,Urban,Y
Male,Yes,2,Not Graduate,No,6125,1625,Semiurban,N
Male,Yes,3+,Graduate,No,6406,0,Semiurban,N
Male,Yes,2,Graduate,No,3159,461,Urban,Y
,Yes,0,Graduate,No,3087,2210,Semiurban,N
Male,No,0,Graduate,No,3229,2739,Urban,Y
Male,Yes,1,Graduate,No,1782,2232,Rural,Y
Male,No,0,Graduate,,3182,2917,Urban,Y
Male,Yes,2,Graduate,No,6540,0,Semiurban,Y
Male,No,0,Graduate,No,1836,33837,Urban,N
Female,Yes,0,Graduate,No,3166,0,Semiurban,Y
Male,Yes,1,Graduate,No,1880,0,Rural,N
Male,Yes,1,Graduate,No,2787,1917,Rural,N
Male,Yes,1,Graduate,No,4283,3000,Rural,N
Male,Yes,0,Graduate,No,2297,1522,Urban,Y
Female,No,0,Not Graduate,No,2165,0,Semiurban,Y
,No,0,Graduate,No,4750,0,Semiurban,Y
Male,Yes,2,Graduate,Yes,2726,0,Semiurban,N
Male,Yes,0,Graduate,No,3000,3416,Semiurban,Y
Male,Yes,2,Graduate,Yes,6000,0,Semiurban,N
,No,3+,Graduate,Yes,9357,0,Semiurban,Y
Male,Yes,0,Graduate,No,3859,3300,Rural,Y
Male,Yes,0,Graduate,Yes,16120,0,Urban,Y
Male,No,0,Not Graduate,No,3833,0,Rural,Y
Male,Yes,2,Not Graduate,Yes,6383,1000,Rural,N
Male,No,,Graduate,No,2987,0,Semiurban,N
Male,Yes,0,Graduate,Yes,9963,0,Rural,Y
Male,Yes,2,Graduate,No,5780,0,Urban,Y
Female,No,3+,Graduate,,416,41667,Urban,N
Male,Yes,0,Not Graduate,,2894,2792,Rural,Y
Male,Yes,3+,Graduate,No,5703,0,Urban,Y
Male,No,0,Graduate,No,3676,4301,Rural,Y
Female,Yes,1,Graduate,No,12000,0,Semiurban,Y
Male,Yes,0,Not Graduate,No,2400,3800,Urban,N
Male,Yes,1,Graduate,No,3400,2500,Semiurban,Y
Male,Yes,2,Not Graduate,No,3987,1411,Rural,Y
Male,Yes,0,Graduate,No,3232,1950,Rural,Y
Female,No,0,Graduate,No,2900,0,Rural,Y
Male,Yes,3+,Graduate,No,4106,0,Rural,Y
Male,Yes,1,Graduate,No,8072,240,Urban,Y
Male,Yes,2,Graduate,No,7583,0,Urban,Y
Female,No,0,Graduate,Yes,4583,0,Semiurban,N
